Wall time,Step,Value
1719694683.353854,0,0.00153155077714473
1719695914.3995075,9,0.00024381917319260538
1719697270.6020632,19,0.006012240424752235
1719698633.9876373,29,0.04790173098444939
1719699998.864001,39,0.12868572771549225
1719701364.1651278,49,0.2689869999885559
1719702730.6452777,59,0.1969735324382782
1719704094.9838388,69,0.3066636323928833
1719705462.4327228,79,0.3810935914516449
1719706827.2262833,89,0.40775781869888306
1719708066.552858,98,0.41632080078125
1719708292.7687576,99,0.42793744802474976
