Wall time,Step,Value
1719171209.4899867,0,0.00024228435358963907
1719172535.733423,9,4.401686601340771e-05
1719173997.5292964,19,0.04277530312538147
1719175487.445933,29,0.2176503986120224
1719176948.4921882,39,0.1691572070121765
1719178412.3507028,49,0.43370556831359863
1719179886.4901688,59,0.6364403963088989
1719181357.1776953,69,0.7176597714424133
1719182827.229604,79,0.799668550491333
1719184296.9309278,89,0.8357282876968384
1719185631.0473785,98,0.858942985534668
1719185873.0419512,99,0.8488020300865173
