Wall time,Step,Value
1719201119.386889,0,0.010419138707220554
1719202460.7378128,9,0.16666658222675323
1719203935.9515336,19,0.7699211835861206
1719205408.1524203,29,0.7455973625183105
1719206879.6502748,39,0.7760910987854004
1719208358.8272412,49,0.8424665927886963
1719209835.7894135,59,0.8207584023475647
1719211315.171084,69,0.7863088250160217
1719212796.8996546,79,0.7980021834373474
1719214280.0531478,89,0.8100445866584778
1719215618.195071,98,0.7759291529655457
1719215862.3824472,99,0.7794707417488098
