Wall time,Step,Value
1719186140.8106282,0,0.009090266190469265
1719187478.9613912,9,0.000410140841268003
1719188952.511835,19,0.12352213263511658
1719190424.0349162,29,0.16517232358455658
1719191898.6709938,39,0.424670547246933
1719193370.5204031,49,0.6574523448944092
1719194857.252654,59,0.7333335280418396
1719196324.2238038,69,0.8197405338287354
1719197792.9705946,79,0.865531325340271
1719199262.4332254,89,0.9073992371559143
1719200592.0889127,98,0.923751711845398
1719200839.3416498,99,0.9361733198165894
