Wall time,Step,Value
1719193719.4371352,0,0.00041185118607245386
1719194984.4217014,9,0.08062983304262161
1719196380.13684,19,0.3015032112598419
1719197773.321798,29,0.43376463651657104
1719199168.7888887,39,0.6119370460510254
1719200562.9765933,49,0.6233300566673279
1719201958.6480687,59,0.78536456823349
1719203362.4010072,69,0.8638057708740234
1719204753.0831842,79,0.9043058753013611
1719206146.632493,89,0.9314531683921814
1719207406.7318952,98,0.9396244287490845
1719207642.9383166,99,0.9401509165763855
