Wall time,Step,Value
1719165275.1921153,0,0.0364653617143631
1719166546.2468004,9,0.14871513843536377
1719167950.8584676,19,0.1750309318304062
1719169352.5089586,29,0.16133883595466614
1719170751.2736416,39,0.37201982736587524
1719172160.2366354,49,0.5109227895736694
1719173565.0738814,59,0.6362600922584534
1719174974.600061,69,0.7983720898628235
1719176381.0996418,79,0.9700152277946472
1719177776.395917,89,0.9967105388641357
1719179047.1387444,98,0.9967105388641357
1719179280.0588725,99,0.9967105388641357
